algorithm,n,type,domain,sample,rep,batch,time_ms,peak_heap_bytes,peak_rss_bytes,correct
patience_sort,10,aleatorio,D7,a,4,2000,0.00018625,376,5283840,1
patience_sort,10,aleatorio,D7,a,5,2000,0.00021815,376,5283840,1
patience_sort,10,aleatorio,D7,a,6,2000,0.00018355,376,5283840,1
patience_sort,10,aleatorio,D7,a,7,2000,0.0001843,376,5283840,1
patience_sort,10,aleatorio,D7,a,8,2000,0.00018335,376,5283840,1
patience_sort,10,aleatorio,D7,a,9,2000,0.0001854,376,5283840,1
patience_sort,10,aleatorio,D7,a,10,2000,0.0001846,376,5283840,1
patience_sort,10,aleatorio,D7,a,11,2000,0.0001841,376,5283840,1
patience_sort,10,aleatorio,D7,a,12,2000,0.00019315,376,5283840,1
patience_sort,10,aleatorio,D7,a,13,2000,0.0001838,376,5283840,1
patience_sort,10,aleatorio,D7,a,14,2000,0.00018495,376,5283840,1
patience_sort,10,aleatorio,D7,a,15,2000,0.0001837,376,5283840,1
std_sort,10,aleatorio,D7,b,1,2000,3.3e-05,40,5283840,1
std_sort,10,aleatorio,D7,b,2,2000,3.32e-05,40,5283840,1
std_sort,10,aleatorio,D7,b,3,2000,3.295e-05,40,5283840,1
std_sort,10,aleatorio,D7,b,4,2000,3.805e-05,40,5283840,1
std_sort,10,aleatorio,D7,b,5,2000,3.31e-05,40,5283840,1
std_sort,10,aleatorio,D7,b,6,2000,3.31e-05,40,5283840,1
std_sort,10,aleatorio,D7,b,7,2000,3.325e-05,40,5283840,1
std_sort,10,aleatorio,D7,b,8,2000,3.32e-05,40,5283840,1
std_sort,10,aleatorio,D7,b,9,2000,3.31e-05,40,5283840,1
std_sort,10,aleatorio,D7,b,10,2000,3.49e-05,40,5283840,1
std_sort,10,aleatorio,D7,b,11,2000,3.29e-05,40,5283840,1
std_sort,10,aleatorio,D7,b,12,2000,3.285e-05,40,5283840,1
std_sort,10,aleatorio,D7,b,13,2000,3.29e-05,40,5283840,1
std_sort,10,aleatorio,D7,b,14,2000,3.305e-05,40,5283840,1
std_sort,10,aleatorio,D7,b,15,2000,3.29e-05,40,5283840,1
merge_sort,10,aleatorio,D7,b,1,2000,8.955e-05,80,5283840,1
merge_sort,10,aleatorio,D7,b,2,2000,8.9e-05,80,5283840,1
merge_sort,10,aleatorio,D7,b,3,2000,8.985e-05,80,5283840,1
merge_sort,10,aleatorio,D7,b,4,2000,8.905e-05,80,5283840,1
merge_sort,10,aleatorio,D7,b,5,2000,9.05e-05,80,5283840,1
merge_sort,10,aleatorio,D7,b,6,2000,8.945e-05,80,5283840,1
merge_sort,10,aleatorio,D7,b,7,2000,8.95e-05,80,5283840,1
merge_sort,10,aleatorio,D7,b,8,2000,8.88e-05,80,5283840,1
merge_sort,10,aleatorio,D7,b,9,2000,8.905e-05,80,5283840,1
merge_sort,10,aleatorio,D7,b,10,2000,8.905e-05,80,5283840,1
merge_sort,10,aleatorio,D7,b,11,2000,9.12e-05,80,5283840,1
merge_sort,10,aleatorio,D7,b,12,2000,8.925e-05,80,5283840,1
merge_sort,10,aleatorio,D7,b,13,2000,8.92e-05,80,5283840,1
merge_sort,10,aleatorio,D7,b,14,2000,8.915e-05,80,5283840,1
merge_sort,10,aleatorio,D7,b,15,2000,9.02e-05,80,5283840,1
quick_sort,10,aleatorio,D7,b,1,2000,6.235e-05,40,5283840,1
quick_sort,10,aleatorio,D7,b,2,2000,6.215e-05,40,5283840,1
quick_sort,10,aleatorio,D7,b,3,2000,6.225e-05,40,5283840,1
quick_sort,10,aleatorio,D7,b,4,2000,6.29e-05,40,5283840,1
quick_sort,10,aleatorio,D7,b,5,2000,6.145e-05,40,5283840,1
quick_sort,10,aleatorio,D7,b,6,2000,6.15e-05,40,5283840,1
quick_sort,10,aleatorio,D7,b,7,2000,6.14e-05,40,5283840,1
quick_sort,10,aleatorio,D7,b,8,2000,6.205e-05,40,5283840,1
quick_sort,10,aleatorio,D7,b,9,2000,7.21e-05,40,5283840,1
quick_sort,10,aleatorio,D7,b,10,2000,6.145e-05,40,5283840,1
quick_sort,10,aleatorio,D7,b,11,2000,6.155e-05,40,5283840,1
quick_sort,10,aleatorio,D7,b,12,2000,6.175e-05,40,5283840,1
quick_sort,10,aleatorio,D7,b,13,2000,6.135e-05,40,5283840,1
quick_sort,10,aleatorio,D7,b,14,2000,6.165e-05,40,5283840,1
quick_sort,10,aleatorio,D7,b,15,2000,6.13e-05,40,5283840,1
