algorithm,n,type,domain,sample,rep,batch,time_ms,peak_heap_bytes,peak_rss_bytes,cutoff,correct
naive,16,diagonal,D0,a,13,200,0.001315,2048,5132288,64,1
naive,16,diagonal,D0,a,14,200,0.0015065,2048,5132288,64,1
naive,16,diagonal,D0,a,15,200,0.0012975,2048,5132288,64,1
strassen,16,diagonal,D0,a,1,200,0.0012375,2048,5132288,64,1
strassen,16,diagonal,D0,a,2,200,0.001237,2048,5132288,64,1
strassen,16,diagonal,D0,a,3,200,0.001237,2048,5132288,64,1
strassen,16,diagonal,D0,a,4,200,0.001236,2048,5132288,64,1
strassen,16,diagonal,D0,a,5,200,0.001237,2048,5132288,64,1
strassen,16,diagonal,D0,a,6,200,0.001237,2048,5132288,64,1
strassen,16,diagonal,D0,a,7,200,0.001237,2048,5132288,64,1
strassen,16,diagonal,D0,a,8,200,0.001248,2048,5132288,64,1
strassen,16,diagonal,D0,a,9,200,0.0012365,2048,5132288,64,1
strassen,16,diagonal,D0,a,10,200,0.0012375,2048,5132288,64,1
strassen,16,diagonal,D0,a,11,200,0.0012365,2048,5132288,64,1
strassen,16,diagonal,D0,a,12,200,0.0012375,2048,5132288,64,1
strassen,16,diagonal,D0,a,13,200,0.0012365,2048,5132288,64,1
strassen,16,diagonal,D0,a,14,200,0.0012355,2048,5132288,64,1
strassen,16,diagonal,D0,a,15,200,0.001236,2048,5132288,64,1
naive,16,diagonal,D0,b,1,200,0.0012345,2048,5132288,64,1
naive,16,diagonal,D0,b,2,200,0.0012335,2048,5132288,64,1
naive,16,diagonal,D0,b,3,200,0.001231,2048,5132288,64,1
naive,16,diagonal,D0,b,4,200,0.0012305,2048,5132288,64,1
naive,16,diagonal,D0,b,5,200,0.0013825,2048,5132288,64,1
naive,16,diagonal,D0,b,6,200,0.001322,2048,5132288,64,1
naive,16,diagonal,D0,b,7,200,0.001364,2048,5132288,64,1
naive,16,diagonal,D0,b,8,200,0.001233,2048,5132288,64,1
naive,16,diagonal,D0,b,9,200,0.0012325,2048,5132288,64,1
naive,16,diagonal,D0,b,10,200,0.0012325,2048,5132288,64,1
naive,16,diagonal,D0,b,11,200,0.0012325,2048,5132288,64,1
naive,16,diagonal,D0,b,12,200,0.001233,2048,5132288,64,1
naive,16,diagonal,D0,b,13,200,0.0012335,2048,5132288,64,1
naive,16,diagonal,D0,b,14,200,0.0012575,2048,5132288,64,1
naive,16,diagonal,D0,b,15,200,0.0012325,2048,5132288,64,1
strassen,16,diagonal,D0,b,1,200,0.001239,2048,5132288,64,1
strassen,16,diagonal,D0,b,2,200,0.0012395,2048,5132288,64,1
strassen,16,diagonal,D0,b,3,200,0.0012395,2048,5132288,64,1
strassen,16,diagonal,D0,b,4,200,0.0012395,2048,5132288,64,1
strassen,16,diagonal,D0,b,5,200,0.0012385,2048,5132288,64,1
strassen,16,diagonal,D0,b,6,200,0.0012385,2048,5132288,64,1
strassen,16,diagonal,D0,b,7,200,0.001253,2048,5132288,64,1
strassen,16,diagonal,D0,b,8,200,0.0012385,2048,5132288,64,1
strassen,16,diagonal,D0,b,9,200,0.001239,2048,5132288,64,1
strassen,16,diagonal,D0,b,10,200,0.0012395,2048,5132288,64,1
strassen,16,diagonal,D0,b,11,200,0.0012395,2048,5132288,64,1
strassen,16,diagonal,D0,b,12,200,0.001239,2048,5132288,64,1
strassen,16,diagonal,D0,b,13,200,0.0012395,2048,5132288,64,1
strassen,16,diagonal,D0,b,14,200,0.0014145,2048,5132288,64,1
strassen,16,diagonal,D0,b,15,200,0.0013935,2048,5132288,64,1
naive,16,diagonal,D0,c,1,200,0.0012845,2048,5132288,64,1
naive,16,diagonal,D0,c,2,200,0.001234,2048,5132288,64,1
naive,16,diagonal,D0,c,3,200,0.0012325,2048,5132288,64,1
naive,16,diagonal,D0,c,4,200,0.0012555,2048,5132288,64,1
naive,16,diagonal,D0,c,5,200,0.001258,2048,5132288,64,1
naive,16,diagonal,D0,c,6,200,0.0012375,2048,5132288,64,1
naive,16,diagonal,D0,c,7,200,0.0012385,2048,5132288,64,1
naive,16,diagonal,D0,c,8,200,0.001236,2048,5132288,64,1
naive,16,diagonal,D0,c,9,200,0.001236,2048,5132288,64,1
naive,16,diagonal,D0,c,10,200,0.0013685,2048,5132288,64,1
naive,16,diagonal,D0,c,11,200,0.001239,2048,5132288,64,1
naive,16,diagonal,D0,c,12,200,0.001238,2048,5132288,64,1
naive,16,diagonal,D0,c,13,200,0.00125,2048,5132288,64,1
naive,16,diagonal,D0,c,14,200,0.0012405,2048,5132288,64,1
naive,16,diagonal,D0,c,15,200,0.001239,2048,5132288,64,1
strassen,16,diagonal,D0,c,1,200,0.0012605,2048,5132288,64,1
strassen,16,diagonal,D0,c,2,200,0.001239,2048,5132288,64,1
strassen,16,diagonal,D0,c,3,200,0.0012375,2048,5132288,64,1
strassen,16,diagonal,D0,c,4,200,0.001248,2048,5132288,64,1
strassen,16,diagonal,D0,c,5,200,0.001238,2048,5132288,64,1
